reference_package	reference_version	reference_architecture	source	source_version	target_package	target_architecture	disposition	match_reason	candidate_version	candidate_sha256	repository_filename
libldb2	2:2.2.3-2~deb11u2	amd64	ldb	2:2.2.3-2~deb11u2	libldb2	arm64	native-arm64	exact-binary-and-source-version	2:2.2.3-2~deb11u2	5321ffe28accdf6b343fd2ff47d68f6d26734f47829ab7894d50e58b9afe21e8	5321ffe28accdf6b343fd2ff47d68f6d26734f47829ab7894d50e58b9afe21e8-libldb2_2%3a2.2.3-2~deb11u2_arm64.deb
liblightdm-gobject-1-0	1.26.0-7+grm3u1	amd64	lightdm	1.26.0-7+grm3u1	liblightdm-gobject-1-0	arm64	native-arm64	exact-binary-and-source-version	1.26.0-7+grm3u1	f28d1813c0b56cdf78310ede537afe9f09f68198028e5a0d4562a7ce1f12637b	f28d1813c0b56cdf78310ede537afe9f09f68198028e5a0d4562a7ce1f12637b-liblightdm-gobject-1-0_1.26.0-7+grm3u1_arm64.deb
liblilv-0-0	0.24.12-2	amd64	lilv	0.24.12-2	liblilv-0-0	arm64	native-arm64	exact-binary-and-source-version	0.24.12-2	b36dc0c3b8ba453025b4839c852065abb95c823c4c03376e9ac4db76c56d5e8b	b36dc0c3b8ba453025b4839c852065abb95c823c4c03376e9ac4db76c56d5e8b-liblilv-0-0_0.24.12-2_arm64.deb
libllvm11	1:11.0.1-2	amd64	llvm-toolchain-11	1:11.0.1-2	libllvm11	arm64	native-arm64	exact-binary-and-source-version	1:11.0.1-2	0f4d1c3e259e203cc25ca5e07a4f88a018a775bdbf4376f33b06c8ffb7bb688b	0f4d1c3e259e203cc25ca5e07a4f88a018a775bdbf4376f33b06c8ffb7bb688b-libllvm11_1%3a11.0.1-2_arm64.deb
liblmdb0	0.9.24-1	amd64	lmdb	0.9.24-1	liblmdb0	arm64	native-arm64	exact-binary-and-source-version	0.9.24-1	c76f9f67a0e0b2fc0010a1d4ff980e0ec5bb224f14fb6df63fdff74d5811226d	c76f9f67a0e0b2fc0010a1d4ff980e0ec5bb224f14fb6df63fdff74d5811226d-liblmdb0_0.9.24-1_arm64.deb
liblocale-gettext-perl	1.07-4+b1	amd64	liblocale-gettext-perl	1.07-4	liblocale-gettext-perl	arm64	native-arm64	exact-binary-and-source-version	1.07-4+b1	435a5b66fda1c04aa633947848c9bff9616f5c4b8c80b10ebd783be53b8a780b	435a5b66fda1c04aa633947848c9bff9616f5c4b8c80b10ebd783be53b8a780b-liblocale-gettext-perl_1.07-4+b1_arm64.deb
liblognorm5	2.0.5-1.1	amd64	liblognorm	2.0.5-1.1	liblognorm5	arm64	native-arm64	exact-binary-and-source-version	2.0.5-1.1	0b6e7593a264b4928dcb6da64dab3ca41acfef1ca899fbb8a7491f43ae549fc1	0b6e7593a264b4928dcb6da64dab3ca41acfef1ca899fbb8a7491f43ae549fc1-liblognorm5_2.0.5-1.1_arm64.deb
libltc11	1.3.1-1	amd64	libltc	1.3.1-1	libltc11	arm64	native-arm64	exact-binary-and-source-version	1.3.1-1	1ff780bc54ed29fd5b638fc4b1cd948c2a34524298fd32175e3abf17a6e8f81f	1ff780bc54ed29fd5b638fc4b1cd948c2a34524298fd32175e3abf17a6e8f81f-libltc11_1.3.1-1_arm64.deb
libltdl7	2.4.6-15	amd64	libtool	2.4.6-15	libltdl7	arm64	native-arm64	exact-binary-and-source-version	2.4.6-15	e13bc091b1493c3bbb0e6554e73bd4d913358fdcd267152d1dcb32a5a3b94e27	e13bc091b1493c3bbb0e6554e73bd4d913358fdcd267152d1dcb32a5a3b94e27-libltdl7_2.4.6-15_arm64.deb
liblua5.2-0	5.2.4-1.1+b3	amd64	lua5.2	5.2.4-1.1	liblua5.2-0	arm64	native-arm64	exact-binary-and-source-version	5.2.4-1.1+b3	420bb05527f514a6d51ecc1fbd38001f044f44640af16ac68d146306c74e63e4	420bb05527f514a6d51ecc1fbd38001f044f44640af16ac68d146306c74e63e4-liblua5.2-0_5.2.4-1.1+b3_arm64.deb
