source	source_version	binary_packages	custom_candidate
libquvi-scripts	0.9.20131130-1.2	libquvi-scripts-0.9	False
librabbitmq	0.10.0-1	librabbitmq4	False
libraw1394	2.1.2-2	libraw1394-11	False
librest	0.8.1-1.1	librest-0.7-0	False
librsvg	2.50.3+dfsg-1	librsvg2-2,librsvg2-common	False
libsamplerate	0.2.1+ds0-1	libsamplerate0	False
libsdl2	2.0.14+dfsg2-3+deb11u1	libsdl2-2.0-0	False
libseccomp	2.5.1-1+deb11u1	libseccomp2	False
libsecret	0.20.4-2	libsecret-1-0,libsecret-common	False
libselinux	3.1-3	libselinux1	False
libsemanage	3.1-1	libsemanage-common,libsemanage1	False
