reference_package	reference_version	mapping_status	source	source_version	target_package	target_version	target_architecture	custom_candidate
dnsmasq-base	2.85-1	exact-arm64	dnsmasq	2.85-1	dnsmasq-base	2.85-1	arm64	False
dosfstools	4.2-1	exact-arm64	dosfstools	4.2-1	dosfstools	4.2-1	arm64	False
dpkg	1.20.12+grm3u1	rebuild-arm64	dpkg	1.20.12+grm3u1	dpkg	1.20.12+grm3u1	arm64	True
e2fsprogs	1.46.2-2	exact-arm64	e2fsprogs	1.46.2-2	e2fsprogs	1.46.2-2	arm64	False
ecryptfs-utils	111-5	exact-arm64	ecryptfs-utils	111-5	ecryptfs-utils	111-5	arm64	False
eject	2.36.1-8+deb11u1	exact-arm64	util-linux	2.36.1-8+deb11u1	eject	2.36.1-8+deb11u1	arm64	False
emacsen-common	3.0.4	reuse-all	emacsen-common	3.0.4	emacsen-common	3.0.4	all	False
eog	3.38.2-1+grm3u4	rebuild-arm64	eog	3.38.2-1+grm3u4	eog	3.38.2-1+grm3u4	arm64	True
evolution-data-server-common	3.38.3-1+deb11u2	reuse-all	evolution-data-server	3.38.3-1+deb11u2	evolution-data-server-common	3.38.3-1+deb11u2	all	False
exfat-fuse	1.3.0-2	exact-arm64	fuse-exfat	1.3.0-2	exfat-fuse	1.3.0-2	arm64	False
exfat-utils	1.3.0-2	exact-arm64	exfat-utils	1.3.0-2	exfat-utils	1.3.0-2	arm64	False
faba-icon-theme	4.3-1	reuse-all	faba-icon-theme	4.3-1	faba-icon-theme	4.3-1	all	False
faenza-icon-theme	1.3.1-1.1	reuse-all	faenza-icon-theme	1.3.1-1.1	faenza-icon-theme	1.3.1-1.1	all	False
fdisk	2.36.1-8+deb11u1	exact-arm64	util-linux	2.36.1-8+deb11u1	fdisk	2.36.1-8+deb11u1	arm64	False
file	1:5.39-3	exact-arm64	file	1:5.39-3	file	1:5.39-3	arm64	False
file-roller	3.38.1-1+grm3u3	rebuild-arm64	file-roller	3.38.1-1+grm3u3	file-roller	3.38.1-1+grm3u3	arm64	True
findutils	4.8.0-1	exact-arm64	findutils	4.8.0-1	findutils	4.8.0-1	arm64	False
firmware-amd-graphics	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-amd-graphics	20210315-3	all	False
firmware-atheros	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-atheros	20210315-3	all	False
firmware-bnx2	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-bnx2	20210315-3	all	False
firmware-bnx2x	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-bnx2x	20210315-3	all	False
firmware-brcm80211	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-brcm80211	20210315-3	all	False
firmware-cavium	20210315-3	reuse-all	firmware-nonfree	20210315-3	firmware-cavium	20210315-3	all	False
